key	no
# COMMON
common.back	TILBAKE
common.continue	FORTSETT
common.cancel	AVBRYT
common.ok	OK
common.on	PA
common.off	AV
common.na	I/T
common.none	INGEN
common.versus	V
common.page	SIDE
common.previous_page	FORRIGE SIDE
common.next_page	NESTE SIDE
common.no_career_data	INGEN KARRIEREDATA
common.no_squad_data	INGEN STALLDATA
common.player_not_available	SPILLER UTILGJENGELIG
common.player	SPILLER
common.budget	BUDSJETT
common.sort	SORTER
common.sort_by	SORTER ETTER
common.value	VERDI
common.skill	FERDIGHET
common.age	ALDER
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	PL
col.team	LAG
col.name	NAVN
col.number	NR
col.number_hash	#
col.p	K
col.w	S
col.d	U
col.l	T
col.gf	MF
col.ga	MI
col.pts	P
col.skl	FRD
col.skill	FERD
col.pot	POT
col.sta	UTH
col.form	F
col.fit	FORM
col.val	VRD
col.nat	NAS
col.club	KLUBB
col.price	PRIS
col.spec	SPES
col.quality	K
col.wage	LONN
col.fee	AVG
col.amount	SUM
col.exp	UTL
col.skill_row	PA TA SK HO KO FA AV
# HOME
home.title	O P E N   S W O S
home.play_match	SPILL KAMP
home.competitions	TURNERINGER
home.multiplayer	FLERSPILLER
home.team_setup	LAGOPPSETT
home.options	VALG
home.career	KARRIERE
home.exit	AVSLUTT
home.credit	AV GRZEGORZ KORYCKI
home.continue_prefix	FORTSETT:
# QUIT
quit.title	AVSLUTT
quit.are_you_sure	ER DU SIKKER?
quit.quit_to_windows	AVSLUTT TIL WINDOWS
quit.return_to_game	TILBAKE TIL SPILL
# FRIENDLY
friendly.title	TRENINGSKAMP
friendly.home	HJEMME
friendly.away	BORTE
friendly.swap_teams	BYTT LAG
friendly.pitch	BANE
friendly.opponent	MOTSTANDER
friendly.half_length	OMGANGSLENGDE
friendly.game_speed	SPILLFART
friendly.kick_off	AVSPARK
friendly.context	TRENINGSKAMP
# VERSUS
versus.play	SPILL
versus.view_result	VIS RESULTAT
# STADIUM
stadium.title	LAG
stadium.kick_off	AVSPARK
stadium.edit_lineup	REDIGER LAG
# OPTIONS
opt.title	VALG
opt.page	SIDE
opt.language	SPRAK
opt.half_length	OMGANGSLENGDE
opt.game_speed	SPILLFART
opt.opponent	MOTSTANDER
opt.pitch	BANE
opt.skill_scaling	FERDIGHETSSKALA
opt.skill_scaling_hint	TRO MOT SWOS SPILLERPRIS-FERDIGHETSSKALA
opt.all_teams_equal	ALLE LAG LIKE
opt.all_teams_equal_hint	UTJEVNER LAGSTYRKE FOR SPILLERLAG
opt.pre_match_menus	FORKAMPMENYER
opt.player_fatigue	SPILLERUTMATTELSE
opt.energy_bar	ENERGILINJE
opt.music	MUSIKK
opt.music_hint	AMIGA / PC / EGEN MENYMUSIKK
opt.sound	LYD
opt.sound_hint	PC ELLER AMIGA KAMPLYDER
opt.display	SKJERM
opt.display_hint	F11 VEKSLER  ALT+ENTER FULLSKJERM
# OPTION VALUES
val.pitch_none	(INGEN)
val.pitch_random	TILFELDIG
val.opponent_ai	KI
val.opponent_player2	SPILLER 2  (WASD)
val.opponent_demo	DEMO  (KI V KI)
val.sound_amiga	AMIGA
val.sound_pc	PC
val.music_custom	EGEN
val.music_off	AV
val.length_whole_match_seconds	%dS EKTE  (HELE KAMPEN)
val.length_whole_match_minutes	%d MIN EKTE  (HELE KAMPEN)
val.display_windowed	VINDU
val.display_full_fill	FULL FYLL
val.display_full_integer	FULL HELTALL
# LOCAL MULTIPLAYER
mp.title	LOKAL FLERSPILLER
mp.controls_hint	SPILLER 1: PILER+MELLOMROM   SPILLER 2: WASD+SHIFT
mp.start	START 2-SPILLERKAMP
# PICKERS
pick.continent	VERDENSDEL
pick.country	LAND
pick.your_team	DITT LAG
pick.all_countries	ALLE LAND
pick.all	ALLE
pick.select_country	VELG LAND
pick.select_continent	VELG VERDENSDEL
pick.select_your_team	VELG DITT LAG
pick.home_team	HJEMMELAG
pick.away_team	BORTELAG
